,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
23,count the number of patients whose diagnosis long title is morbid obesity and the lab test category is chemistry.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.LONG_TITLE  =  'morbid obesity' AND T3.CATEGORY  =  'chemistry',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Morbid obesity"" AND LAB.""CATEGORY"" = ""Chemistry""",medical
24,How many of the patients with guillain barre syndrome as their primary disease died in or before 2164?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  <=  2164 AND T2.ICD9_CODE  =  'guillain barre syndrome',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""GUILLAIN BARRE SYNDROME"" AND DEMOGRAPHIC.""DOD_YEAR"" <= ""2164.0""",medical
25,how many patients died in or before 2115 and lab test name hyaline casts?,SELECT count(DISTINCT T1.DOD) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DOD  <=  2115 AND T2.LABEL  =  'hyaline casts',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""DOD_YEAR"" <= ""2115.0"" AND LAB.""LABEL"" = ""Hyaline Casts""",medical
26,how many patients are discharged to location home and followed the procedure contr cerebr arteriogram?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.DISCHARGE_LOCATION  =  'home' AND T2.LONG_TITLE  =  'contr cerebr arteriogram',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""HOME"" AND PROCEDURES.""SHORT_TITLE"" = ""Contr cerebr arteriogram""",medical
27,provide the age and the health insurance that covers patient with patient id 31066.,"SELECT AGE ,  INSURANCE FROM Demographic WHERE SUBJECT_ID  =  31066","SELECT DEMOGRAPHIC.""AGE"",DEMOGRAPHIC.""INSURANCE"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""31066""",medical
28,how many of the patients with urin tract infection nos received additive therapy?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Prescriptions AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T2.ICD9_CODE  =  'urin tract infection nos' AND T3.DRUG_TYPE  =  'additive therapy',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Urin tract infection NOS"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""ADDITIVE""",medical
29,provide the number of patients admitted before the year 2127 who were discharged at home.,SELECT count(*) FROM Demographic WHERE ADMITTIME  <  2127 AND DISCHARGE_LOCATION  =  'home',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""HOME"" AND DEMOGRAPHIC.""ADMITYEAR"" < ""2127""",medical
30,what number of widowed patients had lab test named metamyelocytes?,SELECT count(DISTINCT T2.itemid) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'Widowed' AND T2.ITEMID  =  'metamyelocytes',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Metamyelocytes""",medical
31,what is the total number of female patients who are on kidney dialysis due to abnormal reaction or some complication probably during procedure?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T2.VALUE_UNIT  =  'female' AND T2.LABEL  =  'kidney dialysis' AND T2.FLAG  =  'abnormal reaction' OR T2.FLAG  =  'complication',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DIAGNOSES.""LONG_TITLE"" = ""Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure""",medical
32,"Count the number of patients admitted to the hospital before year 2157 whose procedure long title is open reduction of fracture with internal fixation, femur.","SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMITTIME  <  2157 AND T2.LONG_TITLE  =  ""open reduction of fracture with internal fixation, femur""","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMITYEAR"" < ""2157"" AND PROCEDURES.""LONG_TITLE"" = ""Open reduction of fracture with internal fixation, femur""",medical
33,"among those who had a labt test for cerebrospinal fluid (csf), calculate the total number of widowed patients ",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'Widowed' AND T2.ITEMID  =  'cerebrospinal fluid (csf)',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""FLUID"" = ""Cerebrospinal Fluid (CSF)""",medical
34,specify icd9 code of patient id 42963,SELECT ICD9_CODE FROM Diagnoses WHERE SUBJECT_ID  =  42963,"SELECT PROCEDURES.""SHORT_TITLE"" FROM PROCEDURES WHERE PROCEDURES.""SUBJECT_ID"" = ""42963""",medical
35,Calculate the number of unmarried patients who had late effects of cerebrovascular disease (hemiplegia affecting unspecified side),SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'N' AND T2.ICD9_CODE  =  '360.0',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""SINGLE"" AND DIAGNOSES.""LONG_TITLE"" = ""Late effects of cerebrovascular disease, hemiplegia affecting unspecified side""",medical
36,how many black/ african american patients have done the lab test protein/creatinine ratio?,SELECT count(DISTINCT T2.itemid) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'protein/creatinine ratio' AND T1.ETHNICITY  =  'black/african american',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/AFRICAN AMERICAN"" AND LAB.""LABEL"" = ""Protein/Creatinine Ratio""",medical
37,how many of the patients who had lab test for oxygen saturation are widowed?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Lab AS T1 JOIN Demographic AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ITEMID  =  'oxygen saturation' AND T2.MARITAL_STATUS  =  'widowed',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Oxygen Saturation""",medical
38,Provide me the birth date and gender for the patient with patient id 17570.,"SELECT DOB ,  GENDER FROM Demographic WHERE SUBJECT_ID  =  17570","SELECT DEMOGRAPHIC.""DOB"",DEMOGRAPHIC.""GENDER"" FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""SUBJECT_ID"" = ""17570""",medical
39,Specify icd9 code of patient Dawn Cooper along with the admission type. ,"SELECT T2.ICD9_CODE ,  T1.ADMISSION_TYPE FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.NAME  =  'Dawn Cooper' ","SELECT DEMOGRAPHIC.""ADMISSION_TYPE"",PROCEDURES.""SHORT_TITLE"" FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""NAME"" = ""Dawn Cooper""",medical
40,give the number of patients whose admission type is urgent and was given the drug aspirin.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'urgent' AND T2.DRUG  =  'aspirin',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""URGENT"" AND PRESCRIPTIONS.""DRUG"" = ""Aspirin""",medical
41,Calculate the minimum age of white-russian ethnic background patients who were admitted to hospital in or after 2138.,SELECT min(AGE) FROM Demographic WHERE ADMITTIME  >=  2138 AND ETHNICITY  =  'white-russian',"SELECT MIN ( DEMOGRAPHIC.""AGE"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""WHITE - RUSSIAN"" AND DEMOGRAPHIC.""ADMITYEAR"" >= ""2138""",medical
42,"among patients who had initial insertion of transvenous lead [electrode] into ventricle, caclulate the number of those who remained admitted in hospital for more than 9 days.",SELECT count(*) FROM Demographic WHERE ADMISSION_TYPE  =  'transvenous lead [electrode] into ventricle' AND DAYS_STAY  >  9,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""DAYS_STAY"" > ""9"" AND PROCEDURES.""LONG_TITLE"" = ""Initial insertion of transvenous lead [electrode] into ventricle""",medical
43,Count the number of patients who are on a base type of drug prescription and have been diagnosed with other and unspecified agents primarily affecting the cardiovascular system causing adverse effects in therapeutic use.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID JOIN Diagnoses AS T3 ON T1.SUBJECT_ID  =  T3.SUBJECT_ID WHERE T2.DRUG_TYPE  =  'base' AND T3.ICD9_CODE  =  'other' AND T3.ICD9_CODE  =  'unspecified' AND T3.ICD9_CODE  =  'cardiovascular' AND T3.ICD9_CODE  =  'adverse' AND T3.ICD9_CODE  =  'effects',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Adv eff cardiovasc NEC"" AND PRESCRIPTIONS.""DRUG_TYPE"" = ""BASE""",medical
44,what is the number of married patients with lab test item id 51382?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'married' AND T2.ITEMID  =  51382,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""ITEMID"" = ""51382""",medical
45,How many of the patients with gangrene as their primary disease received drug via TD route?,SELECT count(DISTINCT T2.HADM_ID) FROM prescriptions AS T1 JOIN diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.route  =  'TD' AND T2.short_title  =  'Gangrene',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""DIAGNOSIS"" = ""GANGRENE"" AND PRESCRIPTIONS.""ROUTE"" = ""TD""",medical
