,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
28,Show the stadium names without any concert.,SELECT Name FROM stadium WHERE Concert IS NULL  ,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),concert_singer
29,What are the names of the stadiums without any concerts?,SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT concert_ID FROM concert)  ,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),concert_singer
30,Show countries where a singer above age 40 and a singer below 30 are from.,SELECT Country FROM singer WHERE Age > 40 OR Age < 30  ,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,concert_singer
31,Show names for all stadiums except for stadiums having a concert in year 2014.,"SELECT Name FROM stadium WHERE Stadium_ID NOT IN (SELECT Stadium_ID FROM concert,concert_in_stadium,concert_ID,concert_Year WHERE concert_Year = 2014)  ",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,concert_singer
32,What are the names of all stadiums that did not have a concert in 2014?,SELECT Name FROM stadium WHERE Year != 2014  ,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,concert_singer
33,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT concert_Name, Theme, COUNT(DISTINCT singer_ID) AS singer_count FROM concert JOIN singer_in_concert ON concert_ID = concert_ID GROUP BY concert_ID;  ","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",concert_singer
34,"What are the names , themes , and number of singers for every concert ?","SELECT concert.concert_Name, concert.Theme, singer.Name, singer.Country, singer.Song_Name, singer.Song_release_year, singer.Age, singer.Is_male FROM singer JOIN concert ON singer.Singer_ID = concert.Singer_ID JOIN stadium ON concert.Stadium_ID = stadium.Stadium_ID  ","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",concert_singer
35,List singer names and number of concerts for each singer.,"SELECT Name, COUNT(*) FROM singer_in_concert GROUP BY Name  ","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",concert_singer
36,What are the names of the singers and number of concerts for each person?,"SELECT Name, COUNT(DISTINCT concert_ID) as num_concerts FROM singer_in_concert GROUP BY Name  ","SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",concert_singer
37,List all singer names in concerts in year 2014.,SELECT name FROM singer WHERE YEAR  =  2014 AND concert_ID IN (SELECT concert_ID FROM concert WHERE Year = 2014)  ,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,concert_singer
38,What are the names of the singers who performed in a concert in 2014?,SELECT name FROM singer WHERE YEAR  =  2014 AND concert_ID  =  (SELECT concert_ID FROM singer_in_concert WHERE YEAR  =  2014)  ,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,concert_singer
39,what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT Name ,  Country ,  Song_Name ,  Song_release_year ,  Age ,  Is_male FROM singer WHERE Song_Name LIKE '%Hey%' AND singer.Country = 'Nation'  ","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",concert_singer
40,What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT T1.Name,T1.Country,T1.Song_Name,T1.Song_release_year,T1.Age,T1.Is_male FROM singer AS T1 JOIN singer_in_concert AS T2 ON T1.Singer_ID  =  T2.Singer_ID WHERE T2.concert_ID  =  (SELECT T1.concert_ID FROM concert AS T1 JOIN stadium AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID WHERE T2.Location = 'Hey')  ","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",concert_singer
41,Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT stadium.Name,stadium.Location FROM stadium JOIN concert ON stadium.Stadium_ID = concert.Stadium_ID WHERE concert.Year  =  '2014' AND concert.Year  =  '2015' AND concert.Stadium_ID = stadium.Stadium_ID  ","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",concert_singer
42,What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT      stadium.Name,     stadium.Location FROM     stadium JOIN     singer_in_concert ON singer_in_concert.Stadium_ID = stadium.Stadium_ID JOIN     concert ON concert.concert_ID = singer_in_concert.concert_ID WHERE     concert.Year = 2014 OR concert.Year = 2015 GROUP BY     stadium.Name,stadium.Location HAVING     COUNT(*) > 1  ","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",concert_singer
43,Find the number of concerts happened in the stadium with the highest capacity .,SELECT count(*) FROM concert WHERE stadium_ID  =  (SELECT max(stadium_ID) FROM stadium)  ,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),concert_singer
44,What are the number of concerts that occurred in the stadium with the largest capacity ?,SELECT count(*) FROM concert WHERE stadium_ID  =  (SELECT max(stadium_ID) FROM stadium)  ,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),concert_singer
45,Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM Pets WHERE weight  >  10 AND StuID = 1  ,SELECT count(*) FROM pets WHERE weight  >  10,pets_1
46,How many pets have a greater weight than 10?,SELECT count(*) FROM Pets WHERE weight  >  10  ,SELECT count(*) FROM pets WHERE weight  >  10,pets_1
47,Find the weight of the youngest dog.,SELECT weight FROM Pets WHERE age  =  (SELECT min(age) FROM Pets)  ,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,pets_1
48,How much does the youngest dog weigh?,SELECT min(weight) FROM Pets WHERE age = (SELECT min(age) FROM Pets)  ,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,pets_1
49,Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  PetType FROM Pets GROUP BY PetType ORDER BY max(weight) DESC  ","SELECT max(weight) ,  petType FROM pets GROUP BY petType",pets_1
50,List the maximum weight and type for each type of pet.,"SELECT max(weight) ,  max(type) FROM Pets  ","SELECT max(weight) ,  petType FROM pets GROUP BY petType",pets_1
51,Find number of pets owned by students who are older than 20.,SELECT count(*) FROM Pets WHERE PetID IN (SELECT StuID FROM Student WHERE Age > 20)  ,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,pets_1
52,How many pets are owned by students that have an age greater than 20?,SELECT count(*) FROM Has_Pet WHERE PetID > 20 AND StuID = Student.StuID AND Age > 20  ,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,pets_1
53,Find the number of dog pets that are raised by female students (with sex F).,SELECT count(*) FROM Has_Pet WHERE Sex  =  'F' AND PetType  =  'Dog' GROUP BY PetID  ,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',pets_1
54,How many dog pets are raised by female students?,SELECT count(*) FROM Student WHERE Fname LIKE '%female%' AND PetType LIKE '%dog%' AND StuID NOT IN (SELECT StuID FROM Has_Pet WHERE PetID = 0)  ,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',pets_1
55,Find the number of distinct type of pets.,SELECT count(DISTINCT PetType) FROM Pets  ,SELECT count(DISTINCT pettype) FROM pets,pets_1
56,How many different types of pet are there?,SELECT count(*) FROM Pets  ,SELECT count(DISTINCT pettype) FROM pets,pets_1
57,Find the first name of students who have cat or dog pet.,SELECT Fname FROM Student WHERE Has_Pet.PetID = Pets.PetType AND Pets.PetType = 'cat' OR Pets.PetType = 'dog'  ,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',pets_1
58,What are the first names of every student who has a cat or dog as a pet?,SELECT Fname FROM Student WHERE Has_Pet.StuID = Student.StuID AND Has_Pet.PetID = 1 AND Has_Pet.PetType = 'cat' OR Has_Pet.PetType = 'dog'  ,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog',pets_1
59,Find the first name of students who have both cat and dog pets .,SELECT DISTINCT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.PetType = 'cat' AND T3.PetType = 'dog'  ,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',pets_1
60,What are the students' first names who have both cats and dogs as pets?,SELECT DISTINCT T1.Fname FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID JOIN Pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.PetType = 'cat' AND T3.PetType = 'dog'  ,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',pets_1
61,Find the major and age of students who do not have a cat pet.,"SELECT Major,Age FROM Student WHERE StuID NOT IN (SELECT StuID from Student WHERE Has_Pet.PetID = Pets.PetID AND Has_Pet.PetID = 1)  ","SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
62,"What major is every student who does not own a cat as a pet, and also how old are they?",SELECT Major FROM Student WHERE Major NOT IN (SELECT Major FROM Student WHERE StuID = Student.StuID AND PetID = Pets.PetID)  ,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
63,Find the id of students who do not have a cat pet.,SELECT StuID FROM Student WHERE Has_Pet.PetID IS NULL  ,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',pets_1
64,What are the ids of the students who do not own cats as pets?,SELECT StuID FROM Student WHERE Has_Pet.PetID IS NULL  ,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',pets_1
65,Find the first name and age of students who have a dog but do not have a cat as a pet.,"SELECT T1.Fname,T1.Age FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID = 1 AND T2.PetType = 1  ","SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
66,What is the first name of every student who has a dog but does not have a cat?,SELECT first_name FROM Student WHERE Has_Pet.PetID = Pets.PetID AND Has_Pet.StuID = Student.StuID AND Has_Pet.PetID NOT IN (SELECT PetID FROM Pets WHERE PetType = 'cat')  ,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
67,Find the type and weight of the youngest pet.,"SELECT PetType,weight FROM Pets ORDER BY Age ASC LIMIT 1  ","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",pets_1
68,"What type of pet is the youngest animal, and how much does it weigh?","SELECT PetType, pet_age, PetID, weight FROM Pets ORDER BY pet_age ASC LIMIT 1  ","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",pets_1
69,Find the id and weight of all pets whose age is older than 1.,"SELECT StuID,PetID,weight FROM Has_Pet WHERE StuID = (SELECT StuID FROM Student WHERE Age > 1) AND PetID = (SELECT PetID FROM Pets WHERE Age > 1)  ","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",pets_1
70,What is the id and weight of every pet who is older than 1?,"SELECT StuID,PetID,PetType,pet_age,weight FROM Has_Pet WHERE StuID = (SELECT StuID FROM Student WHERE Age > 1) AND PetID = (SELECT PetID FROM Pets WHERE Age > 1)  ","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",pets_1
71,Find the average and maximum age for each type of pet.,"SELECT avg(pet_age) ,  max(pet_age) FROM Pets GROUP BY PetType  ","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",pets_1
72,What is the average and maximum age for each pet type?,"SELECT avg(pet_age) ,  max(pet_age) FROM Pets GROUP BY PetType  ","SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype",pets_1
73,Find the average weight for each pet type.,SELECT avg(weight) FROM Pets GROUP BY PetType  ,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",pets_1
74,What is the average weight for each type of pet?,SELECT avg(weight) FROM Pets GROUP BY PetType  ,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype",pets_1
75,Find the first name and age of students who have a pet.,"SELECT Fname,Age FROM Student WHERE Has_Pet.StuID = Student.StuID AND Has_Pet.PetID = Pets.PetID  ","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",pets_1
76,What are the different first names and ages of the students who do have pets?,"SELECT LName ,  FName ,  Age ,  Sex ,  Major ,  Advisor ,  city_code FROM Student WHERE Has_Pet = 1 AND EXISTS (SELECT 1 FROM Pets WHERE StuID = Student.StuID AND PetID = Student.StuID)  ","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",pets_1
77,Find the id of the pet owned by student whose last name is ‘Smith’.,SELECT PetID FROM Pets WHERE StuID = (SELECT StuID FROM Student WHERE LName = 'Smith')  ,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',pets_1
78,What is the id of the pet owned by the student whose last name is 'Smith'?,SELECT T1.PetID from Pets AS T1 JOIN Has_Pet AS T2 ON T1.PetID  =  T2.PetID WHERE T2.StuID  =  'Smith' AND T2.StuID = T1.StuID  ,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',pets_1
79,Find the number of pets for each student who has any pet and student id.,"SELECT count(*) ,  PetID FROM Has_Pet WHERE StuID  =  (SELECT StuID FROM Student WHERE Major  =  'Computer Science') GROUP BY PetID  ","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",pets_1
80,"For students who have pets , how many pets does each student have ? list their ids instead of names .",SELECT PetID FROM Pets WHERE StuID IN (SELECT StuID FROM Student)  ,"select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid",pets_1
81,Find the first name and gender of student who have more than one pet.,"SELECT T1.Fname,T1.LName FROM Student AS T1 JOIN Has_Pet AS T2 ON T1.StuID  =  T2.StuID WHERE T2.PetID > 1 AND T2.StuID = T1.StuID  ","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",pets_1
82,What is the first name and gender of the all the students who have more than one pet?,"SELECT T1.LName,T1.Fname,T1.Age,T1.Sex,T1.Major,T1.Advisor,T1.city_code FROM Student AS T1 JOIN Pets AS T2 ON T1.ID  =  T2.StuID  ","SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1",pets_1
83,Find the last name of the student who has a cat that is age 3.,SELECT LName FROM Student WHERE StuID IN (SELECT StuID FROM Pets WHERE PetType = 'cat' AND Age = 3)  ,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',pets_1
84,What is the last name of the student who has a cat that is 3 years old?,"SELECT LName FROM Student WHERE StuID IN (SELECT StuID FROM Has_Pet WHERE PetID IN (SELECT PetID FROM Pets WHERE PetType = ""cat"" AND pet_age = 3 AND weight = 3))  ",SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat',pets_1
85,Find the average age of students who do not have any pet .,SELECT avg(age) FROM Student WHERE Has_Pet.StuID = Student.StuID AND Has_Pet.PetID = 0 AND Has_Pet.StuID NOT IN (SELECT StuID FROM Pets)  ,select avg(age) from student where stuid not in (select stuid from has_pet),pets_1
86,What is the average age for all students who do not own any pets ?,SELECT avg(Age) FROM Student WHERE Has_Pet.StuID = 0  ,select avg(age) from student where stuid not in (select stuid from has_pet),pets_1
87,How many continents are there?,SELECT count(*) FROM continents  ,SELECT count(*) FROM CONTINENTS;,car_1
88,What is the number of continents?,SELECT count(*) FROM continents  ,SELECT count(*) FROM CONTINENTS;,car_1
89,"How many countries does each continent have? List the continent id, continent name and the number of countries.","SELECT ContinentId,Continent,count(*) FROM countries GROUP BY Continent  ","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",car_1
90,"For each continent, list its id, name, and how many countries it has?","SELECT ContId,ContName,count(*) FROM continents  ","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",car_1
91,How many countries are listed?,SELECT COUNT(*) FROM countries  ,SELECT count(*) FROM COUNTRIES;,car_1
92,How many countries exist?,SELECT COUNT(*) FROM countries  ,SELECT count(*) FROM COUNTRIES;,car_1
93,"How many models does each car maker produce? List maker full name, id and the number.","SELECT FullName,Id,count(*) FROM car_makers GROUP BY Id ORDER BY count(*) DESC LIMIT 10  ","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",car_1
94,"What is the full name of each car maker, along with its id and how many models it produces?","SELECT FullName,Id,MPG FROM car_makers  ","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",car_1
