,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
16,how many of the patients who had lab test for oxygen saturation are widowed?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM demographic AS T1 WHERE T1.MARITAL_STATUS  =  'Widowed' AND T1.SUBJECT_ID IN (SELECT DISTINCT T2.SUBJECT_ID FROM lab AS T2 WHERE T2.ITEMID  =  'Oxygen Saturation'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Oxygen Saturation""",medical
17,what number of widowed patients had lab test named metamyelocytes?,SELECT count(DISTINCT T2.SUBJECT_ID) FROM Demographic AS T1 JOIN lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.LABEL  =  'Metamyelocytes' AND T1.MARITAL_STATUS  =  'Widowed',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Metamyelocytes""",medical
18,how many patients who had a lab test for homocysteine are married?,SELECT count(DISTINCT T2.MARITAL_STATUS) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.MARITAL_STATUS  =  'married' AND T2.ITEMID  =  'homocysteine',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""LABEL"" = ""Homocysteine""",medical
19,how many male patient had the discharge location as left against medical advice?,SELECT count(*) FROM Demographic WHERE DISCHARGE_LOCATION  =  'left' AND ADMISSION_TYPE  =  'against medical advice' AND GENDER  =  'male',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""LEFT AGAINST MEDICAL ADVI""",medical
20,what is the number of male patients who were born before 2156?,SELECT count(*) FROM Demographic WHERE GENDER  =  'male' AND DOB_YEAR  <  2156,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2156""",medical
21,how many male patients have been diagnosed with other emphysema?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'emphysema' AND T1.GENDER  =  'male',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DIAGNOSES.""SHORT_TITLE"" = ""Emphysema NEC""",medical
22,how many female patients have cholangitis diagnoses?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'cholangitis' AND T1.GENDER  =  'female',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DIAGNOSES.""SHORT_TITLE"" = ""Cholangitis""",medical
23,how many of the male patients were treated with fluc100?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.GENDER  =  'male' AND T2.DRUG  =  'Fluc100',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""FLUC100""",medical
24,provide the number of female patients who had sedimentation rate lab test done.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'sedimentation rate' AND T1.GENDER  =  'female',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND LAB.""LABEL"" = ""Sedimentation Rate""",medical
25,how many patients whose language is spanish are aged below 83 years?,SELECT count(*) FROM Demographic WHERE LANGUAGE  =  'Spanish' AND AGE  <  83,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND DEMOGRAPHIC.""AGE"" < ""83""",medical
26,"Find the number of patients who speak english and have been diagnosed with bipolar 1 disorder and have a most recent episode of depressed, unspecified.",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.LANGUAGE  =  'english' AND T2.ICD9_CODE  =  'bipolar 1 disorder' AND T2.ICD9_CODE  =  'depressed' AND T2.ICD9_CODE  =  'unspecified',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""ENGL"" AND DIAGNOSES.""SHORT_TITLE"" = ""Bipol I cur depres NOS""",medical
27,how many spanish speaking patients are operated with procedure coronary arteriography using two catheters?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T1.LANGUAGE  =  'spanish' AND T2.LONG_TITLE  =  'Coronary arteriography' AND T3.ITEMID  =  'two catheters',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND PROCEDURES.""LONG_TITLE"" = ""Coronary arteriography using two catheters""",medical
28,Find the number of patients who have undergone the procedure called infusion of vasopressor agent that have english as their preferred language.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.LANGUAGE  =  'english' AND T2.ICD9_CODE  =  'infusion of vasopressor agent',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""ENGL"" AND PROCEDURES.""LONG_TITLE"" = ""Infusion of vasopressor agent""",medical
29,give the number of patients under the age of 86 whose religion is unknown.,SELECT count(*) FROM Demographic WHERE AGE  <  86 AND RELIGION  =  'Unknown',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""RELIGION"" = ""UNOBTAINABLE"" AND DEMOGRAPHIC.""AGE"" < ""86""",medical
30,"among patients tested for potassium levels, how many of them belonged to romanian east. orth belief?",SELECT count(DISTINCT T1.itemid) FROM lab AS T1 JOIN demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.itemid  =  'potassium' AND T2.religion  =  'orthodox' AND T2.ethnicity  =  'romanian',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""RELIGION"" = ""ROMANIAN EAST. ORTH"" AND LAB.""LABEL"" = ""Potassium""",medical
31,"how many patients who follow christian scientist religion had a lab test reticulocyte count, manual?",SELECT count(DISTINCT T2.LABEL) FROM Demographic AS T1 JOIN lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'Reticulocyte count' AND T2.LABEL  =  'Manual' AND T1.RELIGION  =  'Christian Scientist',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""RELIGION"" = ""CHRISTIAN SCIENTIST"" AND LAB.""LABEL"" = ""Reticulocyte Count, Manual""",medical
32,how many patients were admitted in emergency for brain mass;intracranial hemorrhage?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'EMERGENCY' AND (T2.ICD9_CODE  =  'brain mass' OR T2.ICD9_CODE  =  'intracranial hemorrhage'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""BRAIN MASS;INTRACRANIAL HEMORRHAGE""",medical
33,give the number of patients whose admission type is emergency and diagnosis long title is glucocorticoid deficiency.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'emergency' AND T2.LONG_TITLE  =  'Glucocorticoid deficiency',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND DIAGNOSES.""LONG_TITLE"" = ""Glucocorticoid deficiency""",medical
34,how many patients are admitted in the emergency and procedured with icd9 code 4576?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'Emergency' AND T2.ICD9_CODE  =  4576,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""ICD9_CODE"" = ""4576""",medical
35,how many patients admitted to emergency had opn rt hemicolectomy nec?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'Emergency' AND T2.LONG_TITLE  =  'Opn rt hemicolectomy nec',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""SHORT_TITLE"" = ""Opn rt hemicolectomy NEC""",medical
36,count the number of patients whose admission type is emergency and procedure short title is cv cath plcmt w guidance.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'emergency' AND T2.SHORT_TITLE  =  'Cv cath plcmt w guidance',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""SHORT_TITLE"" = ""CV cath plcmt w guidance""",medical
37,get the number of emergency hospital admission patients who had initial insertion of dual-chamber device.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  100000,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""LONG_TITLE"" = ""Initial insertion of dual-chamber device""",medical
38,how many patients on elective admission had a lab test for urine creatinine?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'elective' AND T2.ITEMID  =  'urine creatinine',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND LAB.""LABEL"" = ""Creatinine, Urine""",medical
39,tell me the number of self pay insurance patients who were born before 2138.,SELECT count(*) FROM Demographic WHERE INSURANCE  =  'Self' AND DOB <  '2138-01-01',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""INSURANCE"" = ""Self Pay"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2138""",medical
40,how many patients posses private insurance and died in or before the year 2131?,SELECT count(*) FROM Demographic WHERE INSURANCE  =  'Private' AND DOD  <=  2131,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""INSURANCE"" = ""Private"" AND DEMOGRAPHIC.""DOD_YEAR"" <= ""2131.0""",medical
41,how many hispanic or latino patients were aged below 20 years?,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'Hispanic or Latino' AND AGE  <  20,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""HISPANIC OR LATINO"" AND DEMOGRAPHIC.""AGE"" < ""20""",medical
42,how many hispanic or latino patients are aged below 27 years?,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'Hispanic or Latino' AND AGE  <  27,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""HISPANIC OR LATINO"" AND DEMOGRAPHIC.""AGE"" < ""27""",medical
43,how many white patients had the diagnosis short title hyperlipidemia nec/nos?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ETHNICITY  =  'White' AND T2.SHORT_TITLE  =  'Hyperlipidemia Nec/Nos',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""WHITE"" AND DIAGNOSES.""SHORT_TITLE"" = ""Hyperlipidemia NEC/NOS""",medical
44,How many patients of black/cape verdean ethnic origin were treated with the drug 1/2 ns?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ETHNICITY  =  'black/cape verdean' AND T2.DRUG  =  '1/2 ns',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/CAPE VERDEAN"" AND PRESCRIPTIONS.""DRUG"" = ""1/2 NS""",medical
45,how many black/haitian patients had the lab test category chemistry?,"SELECT count(DISTINCT T2.hadm_id) FROM demographic AS T1 JOIN lab AS T2 ON T1.hadm_id  =  T2.hadm_id WHERE T2.CATEGORY  =  'Chemistry' AND T1.ETHNICITY  IN ('black', 'haitian')","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/HAITIAN"" AND LAB.""CATEGORY"" = ""Chemistry""",medical
46,what number of patients with femoral artery thrombosis have 0 death status?,SELECT count(*) FROM Demographic WHERE DOD  =  0 AND HADM_ID IN (SELECT HADM_ID FROM Diagnoses WHERE ICD9_CODE  =  'I21.9'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""0"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""FEMORAL ARTERY THROMBOSIS""",medical
47,How many of the patients born before 2083 have confirmed death status?,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  2083 AND EXPIRE_FLAG  =  1,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""EXPIRE_FLAG"" = ""1"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2083""",medical
