,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
10,What are the number of votes from state 'NY' or 'CA'?,"SELECT count(*) FROM VOTES  JOIN CONTESTANTS ON VOTES.contestant_number = CONTESTANTS.contestant_number  JOIN AREA_CODE_STATE ON VOTES.state = AREA_CODE_STATE.state  WHERE AREA_CODE_STATE.state IN ('NY', 'CA')",SELECT count(*) FROM votes WHERE state  =  'NY' OR state  =  'CA',voter_1
11,What is the name of the different car makers who produced a car in 1970?,SELECT DISTINCT T1.Maker FROM car_makers AS T1 WHERE EXISTS (SELECT * FROM cars_data AS T2 WHERE T2.Year = 1970 AND T2.MakeId = T1.Id),SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,car_1
12,Which airlines have departures from CVO but not from APG airports?,SELECT DISTINCT T1.Airline FROM flights AS T1  JOIN airports AS T2 ON T1.SourceAirport = T2.AirportCode  WHERE T2.CountryAbbrev = 'CVO' AND NOT EXISTS (SELECT * FROM flights AS T3  JOIN airports AS T4 ON T3.DestAirport = T4.AirportCode  WHERE T4.CountryAbbrev = 'APG'),"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""CVO"" EXCEPT SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.SourceAirport  =  ""APG""",flight_2
13,"What are the names , themes , and number of singers for every concert ?","SELECT T1.Name, T1.Theme, COUNT(T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID = T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID = T3.Singer_ID GROUP BY T1.concert_ID ORDER BY T1.Year DESC;","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",concert_singer
14,Give me the description of the treatment type whose total cost is the lowest.,SELECT tt.treatment_type_description  FROM treatments t  JOIN treatment_types tt ON t.treatment_type_code = tt.treatment_type_code  WHERE t.cost_of_treatment = (SELECT min(t2.cost_of_treatment)                           FROM treatments t2                           JOIN dogs d ON t2.dog_id = d.dog_id                           JOIN owners o ON d.owner_id = o.owner_id                           JOIN professionals p ON t2.professional_id = p.professional_id                           JOIN treatment_types tt2 ON t2.treatment_type_code = tt2.treatment_type_code                           WHERE d.abandoned_yn = 'N' AND o.email_address IS NOT NULL                           GROUP BY t2.treatment_type_code),SELECT T1.treatment_type_description FROM Treatment_types AS T1 JOIN Treatments AS T2 ON T1.treatment_type_code  =  T2.treatment_type_code GROUP BY T1.treatment_type_code ORDER BY sum(cost_of_treatment) ASC LIMIT 1,dog_kennels
15,How many different addresses do the students currently live?,SELECT count(DISTINCT line_1) FROM Addresses WHERE address_id IN (SELECT current_address_id FROM Students);,SELECT count(DISTINCT current_address_id) FROM Students,student_transcripts_tracking
16,What is the money rank of the tallest poker player?,SELECT Money_Rank FROM poker_player WHERE Height = (SELECT max(Height) FROM people WHERE People_ID = (SELECT People_ID FROM poker_player WHERE Final_Table_Made = 1),SELECT T2.Money_Rank FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T1.Height DESC LIMIT 1,poker_player
17,How many matches were played in each year?,"SELECT year, COUNT(*) FROM (SELECT DISTINCT year, match_num FROM matches WHERE winner_id IN (SELECT player_id FROM players) AND loser_id IN (SELECT player_id FROM players)) GROUP BY year","SELECT count(*) ,  YEAR FROM matches GROUP BY YEAR",wta_1
18,What are years of founding for orchestras that have had more than a single performance?,SELECT T1.Year_of_Founded FROM orchestra AS T1 WHERE EXISTS (SELECT 1 FROM performance AS T2 WHERE T1.Orchestra_ID = T2.Orchestra_ID GROUP BY T1.Orchestra_ID HAVING COUNT(*) > 1),SELECT Year_of_Founded FROM orchestra AS T1 JOIN performance AS T2 ON T1.Orchestra_ID  =  T2.Orchestra_ID GROUP BY T2.Orchestra_ID HAVING COUNT(*)  >  1,orchestra
19,List the number of all matches who played in years of 2013 or 2016.,"SELECT count(*) FROM matches WHERE year IN (2013, 2016)",SELECT count(*) FROM matches WHERE YEAR  =  2013 OR YEAR  =  2016,wta_1
