,NLQ,PREDICTED SQL,GOLD SQL,DATABASE
13,Show all document names using templates with template type code BK.,SELECT DISTINCT T1.Document_Name FROM Documents AS T1 JOIN Templates AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Template_Type_Code  =  'BK',"SELECT T2.document_name FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T1.template_type_code  =  ""BK""",cre_Doc_Template_Mgt
14,"List the vote ids, phone numbers and states of all votes.","SELECT vote_id ,  phone_number ,  state FROM VOTES","SELECT vote_id ,  phone_number ,  state FROM votes",voter_1
15,How many different nationalities do conductors have?,SELECT COUNT (DISTINCT Nationality) FROM conductor,SELECT count(DISTINCT Nationality) FROM conductor,orchestra
16,What is the average age of the visitors whose membership level is not higher than 4?,SELECT AVG (Age) FROM visitor WHERE Level_of_membership  <=  4,SELECT avg(age) FROM visitor WHERE Level_of_membership  <=  4,museum_visit
17,Give me Brazil’s population and life expectancies.,"SELECT Population ,  LifeExpectancy FROM country WHERE Name  =  'Brazil'","SELECT Population ,  LifeExpectancy FROM country WHERE Name  =  ""Brazil""",world_1
18,"List the date of each treatment, together with the first name of the professional who operated it.","SELECT date_of_treatment ,  first_name FROM Treatments AS T1 JOIN Professionals AS T2 ON T1.professional_id  =  T2.professional_id","SELECT T1.date_of_treatment ,  T2.first_name FROM Treatments AS T1 JOIN Professionals AS T2 ON T1.professional_id  =  T2.professional_id",dog_kennels
19,How many countries are listed?,SELECT count(DISTINCT CountryId) FROM countries #### MySQL SQL QUERY SELECT count(*) FROM countries #### MySQL FIXED SQL QUERY SELECT count(DISTINCT CountryId) FROM countries #### PostgreSQL SQL QUERY SELECT count(*) FROM countries #### PostgreSQL FIXED SQL QUERY SELECT count(DISTINCT CountryId) FROM countries,SELECT count(*) FROM COUNTRIES;,car_1
20,How many flights fly from Aberdeen to Ashley?,SELECT count(*) FROM flights WHERE SourceAirport  =  'Aberdeen' AND DestAirport  =  'Ashley',"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode JOIN AIRPORTS AS T3 ON T1.SourceAirport  =  T3.AirportCode WHERE T2.City  =  ""Ashley"" AND T3.City  =  ""Aberdeen""",flight_2
21,What are the maximum and minimum values of area codes?,"SELECT max(area_code) ,  min(area_code) FROM AREA_CODE_STATE","SELECT max(area_code) ,  min(area_code) FROM area_code_state",voter_1
22,"What type of pet is the youngest animal, and how much does it weigh?","SELECT PetType, weight FROM Pets JOIN Has_Pet ON Pets.PetID = Has_Pet.PetID JOIN Student ON Has_Pet.StuID = Student.StuID GROUP BY PetType, weight ORDER BY pet_age ASC LIMIT 1","SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1",pets_1
23,Find the make and production time of the cars that were produced in the earliest year?,"SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_data AS T2 ON T1.Model  =  T2.Id WHERE T2.Year  =  (SELECT min(Year) FROM cars_data) #### PostgreSQL SQL QUERY SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_data AS T2 ON T1.Model  =  T2.Id WHERE T2.Year  =  (SELECT min(Year) FROM cars_data) #### PostgreSQL FIXED SQL QUERY SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_data AS T2 ON T1.Model  =  T2.Id WHERE T2.Year  =  (SELECT min(Year) FROM cars_data) #### MySQL SQL QUERY SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_data AS T2 ON T1.Model  =  T2.Id WHERE T2.Year  =  (SELECT min(Year) FROM cars_data) #### MySQL FIXED SQL QUERY SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_data AS T2 ON T1.Model  =  T2.Id WHERE T2.Year  =  (SELECT min(Year) FROM cars_data) #### Oracle SQL QUERY SELECT T1.Make ,  T2.Year FROM car_names AS T1 JOIN cars_","SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);",car_1
24,find the names of museums which have more staff than the minimum staff number of all museums opened after 2010.,SELECT Name FROM museum WHERE Num_of_Staff  >  (SELECT min(Num_of_Staff) FROM museum WHERE Open_Year  >  2010) AND Open_Year  >  2010,SELECT name FROM museum WHERE num_of_staff  >  (SELECT min(num_of_staff) FROM museum WHERE open_year  >  2010),museum_visit
25,How many high schoolers are there?,SELECT count(DISTINCT ID) FROM Highschooler,SELECT count(*) FROM Highschooler,network_1
26,What are the number of votes from state 'NY' or 'CA'?,SELECT COUNT (DISTINCT vote_id) FROM VOTES WHERE state  =  'NY' OR state  =  'CA',SELECT count(*) FROM votes WHERE state  =  'NY' OR state  =  'CA',voter_1
27,Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T1.concert_Name ,  T1.Theme ,  count(DISTINCT T2.Singer_ID) FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID GROUP BY T1.concert_ID","SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",concert_singer
28,What is the maximum and minimum share for the TV series?,"SELECT max(Share) ,  min(Share) FROM TV_series","SELECT max(SHARE) , min(SHARE) FROM TV_series;",tvshow
29,How many owners temporarily do not have any dogs?,SELECT count(DISTINCT T1.owner_id) FROM Owners AS T1 WHERE T1.owner_id NOT IN (SELECT DISTINCT T2.owner_id FROM Dogs AS T2),SELECT count(*) FROM Owners WHERE owner_id NOT IN ( SELECT owner_id FROM Dogs ),dog_kennels
30,What is the average and maximum capacities for all stadiums ?,"SELECT avg(Capacity) ,  max(Capacity) FROM stadium","select avg(capacity) ,  max(capacity) from stadium",concert_singer
31,What is the average grade of students who have friends?,SELECT avg(grade) FROM highschooler WHERE EXISTS (SELECT * FROM friend WHERE friend.student_id  =  highschooler.ID),SELECT avg(grade) FROM Highschooler WHERE id IN (SELECT T1.student_id FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id),network_1
32,What are the different addresses that have students living there?,"SELECT DISTINCT T1.line_1 ,  T1.line_2 ,  T1.line_3 ,  T1.city ,  T1.zip_postcode ,  T1.state_province_county ,  T1.country ,  T1.other_address_details FROM Addresses AS T1 JOIN Students AS T2 ON T1.address_id  =  T2.current_address_id JOIN Students AS T3 ON T1.address_id  =  T3.permanent_address_id",SELECT count(DISTINCT current_address_id) FROM Students,student_transcripts_tracking
33,What are the names of the stadiums without any concerts?,SELECT T1.Name FROM stadium AS T1 WHERE NOT EXISTS (SELECT * FROM concert AS T2 WHERE T2.Stadium_ID  =  T1.Stadium_ID),SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),concert_singer
34,What is the average age of the dogs who have gone through any treatments?,SELECT avg(age) FROM Dogs AS T1 JOIN Treatments AS T2 ON T1.dog_id  =  T2.dog_id,SELECT avg(age) FROM Dogs WHERE dog_id IN ( SELECT dog_id FROM Treatments ),dog_kennels
35,What is the total count of teachers?,SELECT count(DISTINCT teacher.Teacher_ID) FROM teacher #### PostgreSQL SQL QUERY SELECT count(*) FROM teacher #### PostgreSQL FIXED SQL QUERY SELECT count(DISTINCT teacher.Teacher_ID) FROM teacher,SELECT count(*) FROM teacher,course_teach
36,What are the names of high schoolers who have 3 or more friends?,SELECT DISTINCT T1.name FROM highschooler AS T1 JOIN friend AS T2 ON T1.ID  =  T2.student_id GROUP BY T2.student_id HAVING count(*)  >=  3,SELECT T2.name FROM Friend AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id GROUP BY T1.student_id HAVING count(*)  >=  3,network_1
37,Return the number of United Airlines flights leaving from AHD Airport.,SELECT count(*) FROM flights WHERE SourceAirport  =  'AHD Airport' AND Airline  =  'United Airlines',"SELECT count(*) FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T2.Airline  =  T1.uid WHERE T1.Airline  =  ""United Airlines"" AND T2.SourceAirport  =  ""AHD""",flight_2
38,How much does the most recent treatment cost?,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,SELECT cost_of_treatment FROM Treatments ORDER BY date_of_treatment DESC LIMIT 1,dog_kennels
39,Count the number of templates.,SELECT count(DISTINCT Template_ID) FROM Templates #### PostgreSQL SQL QUERY SELECT count(*) FROM Templates #### PostgreSQL FIXED SQL QUERY SELECT count(DISTINCT Template_ID) FROM Templates,SELECT count(*) FROM Templates,cre_Doc_Template_Mgt
40,What are the orchestras that do not have any performances?,SELECT DISTINCT T1.Orchestra FROM orchestra AS T1 WHERE NOT EXISTS (SELECT * FROM performance AS T2 WHERE T2.Orchestra_ID  =  T1.Orchestra_ID),SELECT Orchestra FROM orchestra WHERE Orchestra_ID NOT IN (SELECT Orchestra_ID FROM performance),orchestra
41,What is the average attendance of shows?,SELECT AVG(Attendance) FROM show,SELECT avg(Attendance) FROM SHOW,orchestra
42,Count the number of dogs of an age below the average.,SELECT count(dog_id) FROM Dogs WHERE age  <  (SELECT avg(age) FROM Dogs),SELECT count(*) FROM Dogs WHERE age  <  ( SELECT avg(age) FROM Dogs ),dog_kennels
43,"What are each owner's first name, last name, and the size of their dog?","SELECT T1.first_name ,  T1.last_name ,  T3.size_description FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id JOIN Sizes AS T3 ON T2.size_code  =  T3.size_code","SELECT T1.first_name ,  T1.last_name ,  T2.size_code FROM Owners AS T1 JOIN Dogs AS T2 ON T1.owner_id  =  T2.owner_id",dog_kennels
44,Which airline has abbreviation 'UAL'?,SELECT Airline FROM airlines WHERE Abbreviation  =  'UAL',"SELECT Airline FROM AIRLINES WHERE Abbreviation  =  ""UAL""",flight_2
45,What is the average transcript date?,SELECT AVG(transcript_date) FROM Transcripts,SELECT avg(transcript_date) FROM Transcripts,student_transcripts_tracking
46,What is the feature type name of feature AirCon?,SELECT T1.feature_type_name FROM Other_Available_Features AS T1 JOIN Ref_Feature_Types AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T1.feature_name  =  'AirCon',"SELECT T2.feature_type_name FROM Other_Available_Features AS T1 JOIN Ref_Feature_Types AS T2 ON T1.feature_type_code  =  T2.feature_type_code WHERE T1.feature_name  =  ""AirCon""",real_estate_properties
47,"Which professional did not operate any treatment on dogs? List the professional's id, role and email.","SELECT DISTINCT T1.professional_id ,  T1.role_code ,  T1.email_address FROM Professionals AS T1 WHERE T1.professional_id NOT IN (SELECT T2.professional_id FROM Treatments AS T2)","SELECT professional_id ,  role_code ,  email_address FROM Professionals EXCEPT SELECT T1.professional_id ,  T1.role_code ,  T1.email_address FROM Professionals AS T1 JOIN Treatments AS T2 ON T1.professional_id  =  T2.professional_id",dog_kennels
48,Return the template type code of the template that is used by a document named Data base.,SELECT T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base' #### PostgreSQL SQL QUERY SELECT T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base' #### PostgreSQL FIXED SQL QUERY SELECT T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base' #### Oracle SQL QUERY SELECT T1.Template_Type_Code FROM Templates T1 JOIN Documents T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base' #### Oracle FIXED SQL QUERY SELECT T1.Template_Type_Code FROM Templates T1 JOIN Documents T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base' #### MySQL SQL QUERY SELECT T1.Template_Type_Code FROM Templates T1 JOIN Documents T2 ON T1.Template_ID  =  T2.Template_ID WHERE T2.Document_Name  =  'Data base',"SELECT T1.template_type_code FROM Templates AS T1 JOIN Documents AS T2 ON T1.template_id  =  T2.template_id WHERE T2.document_name  =  ""Data base""",cre_Doc_Template_Mgt
49,What are the emails of the professionals living in either the state of Hawaii or the state of Wisconsin?,SELECT email_address FROM Professionals WHERE state  =  'Hawaii' OR state  =  'Wisconsin',SELECT email_address FROM Professionals WHERE state  =  'Hawaii' OR state  =  'Wisconsin',dog_kennels
50,What is the id and type code for the template used by the most documents?,"SELECT T1.Template_ID ,  T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID GROUP BY T2.Template_ID HAVING count(*)  =  (SELECT max(count(*)) FROM Documents GROUP BY Template_ID) #### PostgreSQL SQL QUERY SELECT T1.Template_ID ,  T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID GROUP BY T2.Template_ID HAVING count(*)  =  (SELECT max(count(*)) FROM Documents GROUP BY Template_ID) #### PostgreSQL FIXED SQL QUERY SELECT T1.Template_ID ,  T1.Template_Type_Code FROM Templates AS T1 JOIN Documents AS T2 ON T1.Template_ID  =  T2.Template_ID GROUP BY T2.Template_ID HAVING count(*)  =  (SELECT max(count(*)) FROM Documents GROUP BY Template_ID) #### Oracle SQL QUERY SELECT T1.Template_ID ,  T1.Template_Type_Code FROM Templates T1 JOIN Documents T2 ON T1.Template_ID  =  T2.Template_ID GROUP BY T2.Template_ID HAVING count(*)  =  (SELECT max(count(*)) FROM Documents GROUP BY Template_ID) #### Oracle FIXED SQL QUERY SELECT T1","SELECT T1.template_id ,  T2.Template_Type_Code FROM Documents AS T1 JOIN Templates AS T2 ON T1.template_id  =  T2.template_id GROUP BY T1.template_id ORDER BY count(*) DESC LIMIT 1",cre_Doc_Template_Mgt
51,Return the names and surface areas of the 5 largest countries.,"SELECT Name ,  SurfaceArea FROM country ORDER BY SurfaceArea DESC LIMIT 5","SELECT Name ,  SurfaceArea FROM country ORDER BY SurfaceArea DESC LIMIT 5",world_1
52,What language is predominantly spoken in Aruba?,SELECT T1.Language FROM countrylanguage AS T1 JOIN country AS T2 ON T1.CountryCode  =  T2.Code WHERE T2.Name  =  'Aruba',"SELECT T2.Language FROM country AS T1 JOIN countrylanguage AS T2 ON T1.Code  =  T2.CountryCode WHERE T1.Name  =  ""Aruba"" ORDER BY Percentage DESC LIMIT 1",world_1
53,What are the song titles and singer names?,"SELECT DISTINCT T1.Title ,  T2.Name FROM song AS T1 JOIN singer AS T2 ON T1.Singer_ID  =  T2.Singer_ID","SELECT T2.Title ,  T1.Name FROM singer AS T1 JOIN song AS T2 ON T1.Singer_ID  =  T2.Singer_ID",singer
54,Return the number of likes that the high schooler named Kyle has.,SELECT count(student_id) FROM likes AS T1 JOIN highschooler AS T2 ON T1.student_id  =  T2.ID WHERE T2.name  =  'Kyle',"SELECT count(*) FROM Likes AS T1 JOIN Highschooler AS T2 ON T1.student_id  =  T2.id WHERE T2.name  =  ""Kyle""",network_1
55,How many flights arriving in Aberdeen city?,SELECT count(FlightNo) FROM flights AS T1 JOIN airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  'Aberdeen',"SELECT count(*) FROM FLIGHTS AS T1 JOIN AIRPORTS AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.City  =  ""Aberdeen""",flight_2
56,find the minimum and maximum number of products of all stores.,"SELECT min(Number_products) ,  max(Number_products) FROM shop","SELECT min(Number_products) ,  max(Number_products) FROM shop",employee_hire_evaluation
57,What is the name of the conductor who has conducted the most orchestras?,SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T1.Name HAVING count(*)  =  (SELECT max(count(*)) FROM orchestra AS T3 GROUP BY T3.Conductor_ID),SELECT T1.Name FROM conductor AS T1 JOIN orchestra AS T2 ON T1.Conductor_ID  =  T2.Conductor_ID GROUP BY T2.Conductor_ID ORDER BY COUNT(*) DESC LIMIT 1,orchestra
58,Show names of teachers that teach at least two courses.,SELECT T1.Name FROM teacher AS T1 JOIN course_arrange AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T1.Name HAVING count(*)  >=  2,SELECT T2.Name FROM course_arrange AS T1 JOIN teacher AS T2 ON T1.Teacher_ID  =  T2.Teacher_ID GROUP BY T2.Name HAVING COUNT(*)  >=  2,course_teach
59,What are all the makers and models?,"SELECT DISTINCT T1.Maker ,  T2.Model FROM car_makers AS T1 JOIN car_names AS T2 ON T1.Id  =  T2.MakeId ORDER BY T1.Maker","SELECT Maker ,  Model FROM MODEL_LIST;",car_1
60,Which airlines have a flight with destination airport AHD?,SELECT DISTINCT T1.Airline FROM flights AS T1 JOIN airports AS T2 ON T1.DestAirport  =  T2.AirportCode WHERE T2.AirportCode  =  'AHD',"SELECT T1.Airline FROM AIRLINES AS T1 JOIN FLIGHTS AS T2 ON T1.uid  =  T2.Airline WHERE T2.DestAirport  =  ""AHD""",flight_2
61,Find the semester when both Master students and Bachelor students got enrolled in.,SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### PostgreSQL SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### PostgreSQL FIXED SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### Oracle SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### Oracle FIXED SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### MySQL SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### MySQL FIXED SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (SELECT semester_id FROM Student_Enrolment WHERE degree_program_id  =  'Master') #### SQL Server SQL QUERY SELECT semester_id FROM Semesters WHERE semester_id IN (,SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Master' INTERSECT SELECT DISTINCT T2.semester_id FROM Degree_Programs AS T1 JOIN Student_Enrolment AS T2 ON T1.degree_program_id  =  T2.degree_program_id WHERE degree_summary_name  =  'Bachelor',student_transcripts_tracking
62,Find the number of cartoons directed by each of the listed directors.,"SELECT Directed_by ,  count(*) FROM Cartoon GROUP BY Directed_by","SELECT count(*) ,  Directed_by FROM cartoon GROUP BY Directed_by",tvshow
63,How many friends does each student have?,"SELECT student_id ,  count(*) FROM Friend GROUP BY student_id","SELECT student_id ,  count(*) FROM Friend GROUP BY student_id",network_1
64,What is the date and id of the transcript with the least number of results?,"SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts AS T1 WHERE T1.transcript_id  =  (SELECT min(T2.transcript_id) FROM Transcript_Contents AS T2) #### PostgreSQL SQL QUERY SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts AS T1 WHERE T1.transcript_id  =  (SELECT min(T2.transcript_id) FROM Transcript_Contents AS T2) #### PostgreSQL FIXED SQL QUERY SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts AS T1 WHERE T1.transcript_id  =  (SELECT min(T2.transcript_id) FROM Transcript_Contents AS T2) #### Oracle SQL QUERY SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts T1 WHERE T1.transcript_id  =  (SELECT min(T2.transcript_id) FROM Transcript_Contents T2) #### Oracle FIXED SQL QUERY SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts T1 WHERE T1.transcript_id  =  (SELECT min(T2.transcript_id) FROM Transcript_Contents T2) #### MySQL SQL QUERY SELECT T1.transcript_id ,  T1.transcript_date FROM Transcripts T1 WHERE T","SELECT T2.transcript_date ,  T1.transcript_id FROM Transcript_Contents AS T1 JOIN Transcripts AS T2 ON T1.transcript_id  =  T2.transcript_id GROUP BY T1.transcript_id ORDER BY count(*) ASC LIMIT 1",student_transcripts_tracking
65,"Which country does Airline ""JetBlue Airways"" belong to?",SELECT Country FROM airlines WHERE Airline  =  'JetBlue Airways',"SELECT Country FROM AIRLINES WHERE Airline  =  ""JetBlue Airways""",flight_2
66,Return the birth date of the poker player with the lowest earnings.,SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID WHERE T2.Earnings  =  (SELECT min(Earnings) FROM poker_player),SELECT T1.Birth_Date FROM people AS T1 JOIN poker_player AS T2 ON T1.People_ID  =  T2.People_ID ORDER BY T2.Earnings ASC LIMIT 1,poker_player
67,What is the first name of every student who has a dog but does not have a cat?,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.StuID  =  T2.StuID JOIN pets AS T3 ON T2.PetID  =  T3.PetID WHERE T3.PetType  =  'dog' AND NOT EXISTS (SELECT * FROM pets AS T4 WHERE T4.PetType  =  'cat' AND T4.PetID  =  T3.PetID),"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')",pets_1
68,Please show the different record companies and the corresponding number of orchestras.,"SELECT Record_Company ,  COUNT (DISTINCT Orchestra_ID) FROM orchestra GROUP BY Record_Company #### PostgreSQL SQL QUERY SELECT Record_Company ,  COUNT (DISTINCT Orchestra_ID) FROM orchestra GROUP BY Record_Company #### PostgreSQL FIXED SQL QUERY SELECT Record_Company ,  COUNT (DISTINCT Orchestra_ID) FROM orchestra GROUP BY Record_Company","SELECT Record_Company ,  COUNT(*) FROM orchestra GROUP BY Record_Company",orchestra
