NLQ,PRED SQL,GOLD SQL,OUTPUT PRED,OUTPUT GOLD
how many divorced patients have celo-vessicle fistula primary disease?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'divorced' AND T2.SHORT_TITLE  =  'celo-vessicle fistula',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""DIVORCED"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""CELO-VESSICLE FISTULA""","[(0,)]","[(1,)]"
give me the number of widow patients who were born before the year 1846.,SELECT count(*) FROM Demographic WHERE DOB_YEAR  <  1846,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""1846""","[(2,)]","[(2,)]"
tell me the number of married patients who had spinal tap.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'married' AND T2.ITEMID  =  'spinal tap',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND PROCEDURES.""SHORT_TITLE"" = ""Spinal tap""","[(0,)]","[(2,)]"
count the number of patients whose marital status is widowed and procedure long title is laryngoscopy and other tracheoscopy.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'widowed' AND T2.LONG_TITLE  =  'laryngoscopy' OR T2.LONG_TITLE  =  'other tracheoscopy',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND PROCEDURES.""LONG_TITLE"" = ""Laryngoscopy and other tracheoscopy""","[(0,)]","[(1,)]"
How many patients with item id 51438 were married?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Lab AS T1 JOIN Demographic AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ITEMID  =  51438 AND T2.MARITAL_STATUS  =  'married',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""ITEMID"" = ""51438""","[(0,)]","[(1,)]"
"how many patients are married and lab tested for bilirubin, indirect?",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'married' AND T2.ITEMID  =  'bilirubin' AND T2.FLUID  =  'indirect',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""LABEL"" = ""Bilirubin, Indirect""","[(0,)]","[(7,)]"
how many of the patients who had lab test for oxygen saturation are widowed?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Lab AS T1 JOIN Demographic AS T2 ON T1.SUBJECT_ID  =  T2.SUBJECT_ID WHERE T1.ITEMID  =  'oxygen saturation' AND T2.MARITAL_STATUS  =  'widowed',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Oxygen Saturation""","[(0,)]","[(2,)]"
what number of widowed patients had lab test named metamyelocytes?,SELECT count(DISTINCT T2.SUBJECT_ID) FROM Demographic AS T1 JOIN lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.LABEL  =  'metamyelocytes' AND T1.MARITAL_STATUS  =  'Widowed',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""WIDOWED"" AND LAB.""LABEL"" = ""Metamyelocytes""","[(0,)]","[(4,)]"
how many patients who had a lab test for homocysteine are married?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.MARITAL_STATUS  =  'married' AND T2.LABEL  =  'homocysteine',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""MARITAL_STATUS"" = ""MARRIED"" AND LAB.""LABEL"" = ""Homocysteine""","[(0,)]","[(1,)]"
how many male patient had the discharge location as left against medical advice?,SELECT count(*) FROM Demographic WHERE DISCHARGE_LOCATION  =  'left' AND GENDER  =  'male',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DEMOGRAPHIC.""DISCHARGE_LOCATION"" = ""LEFT AGAINST MEDICAL ADVI""","[(0,)]","[(1,)]"
what is the number of male patients who were born before 2156?,SELECT count(*) FROM Demographic WHERE GENDER  =  'male' AND DOB_YEAR  <  2156,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2156""","[(0,)]","[(48,)]"
how many male patients have been diagnosed with other emphysema?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'emphysema' AND T1.GENDER  =  'male',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND DIAGNOSES.""SHORT_TITLE"" = ""Emphysema NEC""","[(0,)]","[(1,)]"
how many female patients have cholangitis diagnoses?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ICD9_CODE  =  'cholangitis' AND T1.GENDER  =  'female',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND DIAGNOSES.""SHORT_TITLE"" = ""Cholangitis""","[(0,)]","[(1,)]"
how many of the male patients were treated with fluc100?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.GENDER  =  'male' AND T2.DRUG  =  'fluc100',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""M"" AND PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""FLUC100""","[(0,)]","[(1,)]"
provide the number of female patients who had sedimentation rate lab test done.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'sedimentation rate' AND T1.GENDER  =  'female',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""GENDER"" = ""F"" AND LAB.""LABEL"" = ""Sedimentation Rate""","[(0,)]","[(2,)]"
how many patients whose language is spanish are aged below 83 years?,SELECT count(*) FROM Demographic WHERE LANGUAGE  =  'Spanish' AND AGE  <  83,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND DEMOGRAPHIC.""AGE"" < ""83""","[(0,)]","[(2,)]"
"Find the number of patients who speak english and have been diagnosed with bipolar 1 disorder and have a most recent episode of depressed, unspecified.",SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.LANGUAGE  =  'english' AND T2.ICD9_CODE  =  'bipolar 1 disorder' AND T2.ICD9_CODE  =  'depressed' AND T2.ICD9_CODE  =  'unspecified',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""ENGL"" AND DIAGNOSES.""SHORT_TITLE"" = ""Bipol I cur depres NOS""","[(0,)]","[(1,)]"
how many spanish speaking patients are operated with procedure coronary arteriography using two catheters?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID JOIN Lab AS T3 ON T1.HADM_ID  =  T3.HADM_ID WHERE T1.LANGUAGE  =  'spanish' AND T2.LONG_TITLE  =  'coronary arteriography' AND T3.ITEMID  =  'two catheters',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""SPAN"" AND PROCEDURES.""LONG_TITLE"" = ""Coronary arteriography using two catheters""","[(0,)]","[(1,)]"
Find the number of patients who have undergone the procedure called infusion of vasopressor agent that have english as their preferred language.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.LANGUAGE  =  'english' AND T2.ICD9_CODE  =  'infusion of vasopressor agent',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""LANGUAGE"" = ""ENGL"" AND PROCEDURES.""LONG_TITLE"" = ""Infusion of vasopressor agent""","[(0,)]","[(1,)]"
give the number of patients under the age of 86 whose religion is unknown.,SELECT count(*) FROM Demographic WHERE AGE  <  86 AND RELIGION  =  'Unknown',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""RELIGION"" = ""UNOBTAINABLE"" AND DEMOGRAPHIC.""AGE"" < ""86""","[(0,)]","[(15,)]"
"among patients tested for potassium levels, how many of them belonged to romanian east. orth belief?",SELECT count(DISTINCT T1.itemid) FROM lab AS T1 JOIN demographic AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.itemid  =  'potassium' AND T2.religion  =  'orthodox' AND T2.ethnicity  =  'romanian',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""RELIGION"" = ""ROMANIAN EAST. ORTH"" AND LAB.""LABEL"" = ""Potassium""","[(0,)]","[(1,)]"
"how many patients who follow christian scientist religion had a lab test reticulocyte count, manual?",SELECT count(DISTINCT T2.LABEL) FROM Demographic AS T1 JOIN lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  'Reticulocyte count' AND T2.LABEL  =  'Manual' AND T1.RELIGION  =  'Christian Scientist',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""RELIGION"" = ""CHRISTIAN SCIENTIST"" AND LAB.""LABEL"" = ""Reticulocyte Count, Manual""","[(0,)]","[(1,)]"
how many patients were admitted in emergency for brain mass;intracranial hemorrhage?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'EMERGENCY' AND (T2.ICD9_CODE  =  'brain mass' OR T2.ICD9_CODE  =  'intracranial hemorrhage'),"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND DEMOGRAPHIC.""DIAGNOSIS"" = ""BRAIN MASS;INTRACRANIAL HEMORRHAGE""","[(0,)]","[(1,)]"
give the number of patients whose admission type is emergency and diagnosis long title is glucocorticoid deficiency.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'emergency' AND T2.LONG_TITLE  =  'glucocorticoid deficiency',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND DIAGNOSES.""LONG_TITLE"" = ""Glucocorticoid deficiency""","[(0,)]","[(1,)]"
how many patients are admitted in the emergency and procedured with icd9 code 4576?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'Emergency' AND T2.ICD9_CODE  =  4576,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""ICD9_CODE"" = ""4576""","[(0,)]","[(2,)]"
how many patients admitted to emergency had opn rt hemicolectomy nec?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_LOCATION  =  'Emergency' AND T2.LONG_TITLE  =  'opn rt hemicolectomy nec',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""SHORT_TITLE"" = ""Opn rt hemicolectomy NEC""","[(0,)]","[(2,)]"
count the number of patients whose admission type is emergency and procedure short title is cv cath plcmt w guidance.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Procedures AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'emergency' AND T2.SHORT_TITLE  =  'cv cath plcmt w guidance',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""SHORT_TITLE"" = ""CV cath plcmt w guidance""","[(0,)]","[(3,)]"
get the number of emergency hospital admission patients who had initial insertion of dual-chamber device.,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T2.ITEMID  =  100000,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""EMERGENCY"" AND PROCEDURES.""LONG_TITLE"" = ""Initial insertion of dual-chamber device""","[(0,)]","[(2,)]"
how many patients on elective admission had a lab test for urine creatinine?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Lab AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ADMISSION_TYPE  =  'elective' AND T2.ITEMID  =  'urine creatinine',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ADMISSION_TYPE"" = ""ELECTIVE"" AND LAB.""LABEL"" = ""Creatinine, Urine""","[(0,)]","[(4,)]"
tell me the number of self pay insurance patients who were born before 2138.,SELECT count(*) FROM Demographic WHERE INSURANCE  =  'self' AND DOB <  '2138-01-01',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""INSURANCE"" = ""Self Pay"" AND DEMOGRAPHIC.""DOB_YEAR"" < ""2138""","[(0,)]","[(3,)]"
how many patients posses private insurance and died in or before the year 2131?,SELECT count(*) FROM Demographic WHERE INSURANCE  =  'private' AND DOD  <=  2131,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""INSURANCE"" = ""Private"" AND DEMOGRAPHIC.""DOD_YEAR"" <= ""2131.0""","[(0,)]","[(2,)]"
how many hispanic or latino patients were aged below 20 years?,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'Hispanic or Latino' AND AGE  <  20,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""HISPANIC OR LATINO"" AND DEMOGRAPHIC.""AGE"" < ""20""","[(0,)]","[(1,)]"
how many hispanic or latino patients are aged below 27 years?,SELECT count(*) FROM Demographic WHERE ETHNICITY  =  'Hispanic or Latino' AND AGE  <  27,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC WHERE DEMOGRAPHIC.""ETHNICITY"" = ""HISPANIC OR LATINO"" AND DEMOGRAPHIC.""AGE"" < ""27""","[(0,)]","[(2,)]"
how many white patients had the diagnosis short title hyperlipidemia nec/nos?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Diagnoses AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ETHNICITY  =  'White' AND T2.SHORT_TITLE  =  'Hyperlipidemia Nec/Nos',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""WHITE"" AND DIAGNOSES.""SHORT_TITLE"" = ""Hyperlipidemia NEC/NOS""","[(0,)]","[(12,)]"
How many patients of black/cape verdean ethnic origin were treated with the drug 1/2 ns?,SELECT count(DISTINCT T1.SUBJECT_ID) FROM Demographic AS T1 JOIN Prescriptions AS T2 ON T1.HADM_ID  =  T2.HADM_ID WHERE T1.ETHNICITY  =  'black/cape verdean' AND T2.DRUG  =  '1/2 ns',"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/CAPE VERDEAN"" AND PRESCRIPTIONS.""DRUG"" = ""1/2 NS""","[(0,)]","[(1,)]"
how many black/haitian patients had the lab test category chemistry?,"SELECT count(DISTINCT T2.hadm_id) FROM demographic AS T1 JOIN lab AS T2 ON T1.hadm_id  =  T2.hadm_id WHERE T2.CATEGORY  =  'chemistry' AND T1.ETHNICITY  IN ('black', 'haitian')","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN LAB on DEMOGRAPHIC.HADM_ID = LAB.HADM_ID WHERE DEMOGRAPHIC.""ETHNICITY"" = ""BLACK/HAITIAN"" AND LAB.""CATEGORY"" = ""Chemistry""","[(0,)]","[(2,)]"
